name,id,cmc,type,subtype,text,power,toughness
Greater Werewolf,241,5,Creature,Werewolf,"At end of combat, put a -0/-2 counter on each creature blocking or blocked by Greater Werewolf.",2,4
Guiltfeeder,242,5,Creature,Horror,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever Guiltfeeder attacks and isn't blocked, defending player loses 1 life for each card in their graveyard.",0,4
Bushmeat Poacher,243,4,Creature,HumanSoldier,"{1}, {T}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness. Draw a card.",2,4
Ivory Mask,244,4,Enchantment,None,You have shroud. (You can't be the target of spells or abilities.),-999,-999
Mindblade Render,245,2,Creature,AzraWarrior,"Whenever your opponents are dealt combat damage, if any of that damage was dealt by a Warrior, you draw a card and you lose 1 life.",1,3
Glademuse,246,3,Creature,Beast,"Whenever a player casts a spell, if it's not their turn, that player draws a card.",2,4
Cathedral Membrane,248,2,ArtifactCreature,Wall,"({W/P} can be paid with either {W} or 2 life.) Defender When Cathedral Membrane dies during combat, it deals 6 damage to each creature it blocked this combat.",0,3
Chain of Plasma,249,2,Instant,None,"Chain of Plasma deals 3 damage to any target. Then that player or that permanent's controller may discard a card. If the player does, they may copy this spell and may choose a new target for that copy.",-999,-999
Ruthless Sniper,250,1,Creature,HumanArcher,"Whenever you cycle or discard a card, you may pay {1}. If you do, put a -1/-1 counter on target creature.",1,2
Coils of the Medusa,251,2,Enchantment,Aura,Enchant creature Enchanted creature gets +1/-1. Sacrifice Coils of the Medusa: Destroy all non-Wall creatures blocking enchanted creature.,-999,-999
World at War,252,5,Sorcery,None,"After the first postcombat main phase this turn, there's an additional combat phase followed by an additional main phase. At the beginning of that combat, untap all creatures that attacked this turn. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",-999,-999
Strength of Lunacy,253,2,Enchantment,Aura,"Enchant creature Enchanted creature gets +2/+1 and has protection from white. Madness {B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",-999,-999
Order of the Golden Cricket,254,2,Creature,KithkinKnight,"Whenever Order of the Golden Cricket attacks, you may pay {W}. If you do, it gains flying until end of turn.",2,2
Funeral Pyre,255,1,Instant,None,Exile target card from a graveyard. Its owner creates a 1/1 white Spirit creature token with flying.,-999,-999
Stop That,256,1,Instant,None,"Target player discards a card. Gotcha — If an opponent audibly flicks the cards in their hand, you may say ""Gotcha!"" When you do, return Stop That from your graveyard to your hand.",-999,-999
Strategic Planning,257,2,Sorcery,None,Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.,-999,-999
Screaming Seahawk,258,5,Creature,Bird,"Flying When Screaming Seahawk enters the battlefield, you may search your library for a card named Screaming Seahawk, reveal it, and put it into your hand. If you do, shuffle your library.",2,2
Koth of the Hammer Emblem,259,0,Emblem,Koth,Mountains you control have '{T}: This land deals 1 damage to any target.',-999,-999
Jasconian Isle,260,0,LandCreature,IslandFish,"(Jasconian Isle isn't a spell, it's affected by summoning sickness, it's blue, and it has ""{T}: Add {U}."") Jasconian Isle enters the battlefield tapped. Jasconian Isle doesn't untap during your untap step. At the beginning of your upkeep, you may pay {U}{U}. If you do, untap Jasconian Isle.",3,4
Heavily Armored,261,0,Card,None,(Theme color: {W}),-999,-999
Aggressive Crag,262,0,Land,None,"At the beginning of your combat step, tap Aggressive Crag. {T}: Add {R} or {W}.",-999,-999
"Hixus, Prison Warden",263,5,LegendaryCreature,HumanSoldier,"Flash (You may cast this spell any time you could cast an instant.) Whenever a creature deals combat damage to you, if Hixus, Prison Warden entered the battlefield this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)",4,4
Shoreline Salvager,264,4,Creature,Surrakar,"Whenever Shoreline Salvager deals combat damage to a player, if you control an Island, you may draw a card.",3,3
Mistform Wall,265,3,Creature,IllusionWall,Mistform Wall has defender as long as it's a Wall. {1}: Mistform Wall becomes the creature type of your choice until end of turn.,1,4
Sage of the Inward Eye,266,5,Creature,DjinnWizard,"Flying Whenever you cast a noncreature spell, creatures you control gain lifelink until end of turn.",3,4
Remembrance,267,4,Enchantment,None,"Whenever a nontoken creature you control dies, you may search your library for a card with the same name as that creature, reveal it, and put it into your hand. If you do, shuffle your library.",-999,-999
Devil,268,0,TokenCreature,Devil,"When this creature dies, it deals 1 damage to any target.",1,1
Ghostly Touch,269,2,Enchantment,Aura,"Enchant creature Enchanted creature has ""Whenever this creature attacks, you may tap or untap target permanent.""",-999,-999
Blind Creeper,270,2,Creature,ZombieBeast,"Whenever a player casts a spell, Blind Creeper gets -1/-1 until end of turn.",3,3
Contagious Nim,271,3,Creature,Zombie,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),2,2
Walker of the Grove,273,8,Creature,Elemental,"When Walker of the Grove leaves the battlefield, create a 4/4 green Elemental creature token. Evoke {4}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",7,7
Midnight Entourage,274,4,Creature,AetherbornRogue,"Other Aetherborn you control get +1/+1. Whenever Midnight Entourage or another Aetherborn you control dies, you draw a card and you lose 1 life.",3,3
Glimpse of Freedom,275,2,Instant,None,"Draw a card. Escape—{2}{U}, Exile five other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)",-999,-999
Mizzium Skin,276,1,Instant,None,"Target creature you control gets +0/+1 and gains hexproof until end of turn. Overload {1}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",-999,-999
Catapult Master,277,5,Creature,HumanSoldier,Tap five untapped Soldiers you control: Exile target creature.,3,3
Benefaction of Rhonas,278,3,Sorcery,None,Reveal the top five cards of your library. You may put a creature card and/or an enchantment card from among them into your hand. Put the rest into your graveyard.,-999,-999
Chief Engineer,279,2,Creature,VedalkenArtificer,Artifact spells you cast have convoke. (Your creatures can help cast those spells. Each creature you tap while casting an artifact spell pays for {1} or one mana of that creature's color.),1,3
Scorching Missile,280,4,Sorcery,None,Scorching Missile deals 4 damage to target player or planeswalker. Flashback {9}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.),-999,-999
Obelisk of Naya,281,3,Artifact,None,"{T}: Add {R}, {G}, or {W}.",-999,-999
Coast Watcher,282,2,Creature,BirdSoldier,"Flying, protection from green",1,1
Spine of Ish Sah,283,7,Artifact,None,"When Spine of Ish Sah enters the battlefield, destroy target permanent. When Spine of Ish Sah is put into a graveyard from the battlefield, return Spine of Ish Sah to its owner's hand.",-999,-999
Ancient Den,284,0,Artifact Land,None,(Ancient Den isn't a spell.) {T}: Add {W}.,-999,-999
Research the Deep,285,2,Sorcery,None,"Draw a card. Clash with an opponent. If you win, return Research the Deep to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher converted mana cost.)",-999,-999
Angel of Destiny,286,5,Creature,AngelCleric,"Flying, double strike Whenever a creature you control deals combat damage to a player, you and that player each gain that much life. At the beginning of your end step, if you have at least 15 life more than your starting life total, each player Angel of Destiny attacked this turn loses the game.",2,6
Thunderclap,287,3,Instant,None,You may sacrifice a Mountain rather than pay this spell's mana cost. Thunderclap deals 3 damage to target creature.,-999,-999
Marsh Flitter,288,4,Creature,FaerieRogue,"Flying When Marsh Flitter enters the battlefield, create two 1/1 black Goblin Rogue creature tokens. Sacrifice a Goblin: Marsh Flitter has base power and toughness 3/3 until end of turn.",1,1
Search for Survivors,289,3,Sorcery,None,"Reorder your graveyard at random. An opponent chooses a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, exile it.",-999,-999
Raze,290,1,Sorcery,None,"As an additional cost to cast this spell, sacrifice a land. Destroy target land.",-999,-999
Gideon's Intervention,291,4,Enchantment,None,"As Gideon's Intervention enters the battlefield, choose a card name. Your opponents can't cast spells with the chosen name. Prevent all damage that would be dealt to you and permanents you control by sources with the chosen name.",-999,-999
Smolder Initiate,292,1,Creature,ElementalShaman,"Whenever a player casts a black spell, you may pay {1}. If you do, target player loses 1 life.",1,1
Makeshift Mauler,293,4,Creature,ZombieHorror,"As an additional cost to cast this spell, exile a creature card from your graveyard.",4,5
Matopi Golem,294,5,ArtifactCreature,Golem,"{1}: Regenerate Matopi Golem. When it regenerates this way, put a -1/-1 counter on it.",3,3
Boggart Birth Rite,295,1,TribalSorcery,Goblin,Return target Goblin card from your graveyard to your hand.,-999,-999
Meren of Clan Nel Toth,296,4,LegendaryCreature,HumanShaman,"Whenever another creature you control dies, you get an experience counter. At the beginning of your end step, choose target creature card in your graveyard. If that card's converted mana cost is less than or equal to the number of experience counters you have, return it to the battlefield. Otherwise, put it into your hand.",3,4
Storage Matrix,297,3,Artifact,None,"As long as Storage Matrix is untapped, each player chooses artifact, creature, or land during their untap step. That player can untap only permanents of the chosen type this step.",-999,-999
Commanding Presence,298,4,Enchantment,Aura,"Enchant creature Enchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player, create a 1/1 white Human Soldier creature token.""",-999,-999
"Jiwari, the Earth Aflame",299,5,LegendaryCreature,Spirit,"{X}{R}, {T}: Jiwari, the Earth Aflame deals X damage to target creature without flying. Channel — {X}{R}{R}{R}, Discard Jiwari: Jiwari deals X damage to each creature without flying.",3,3
Numai Outcast,300,4,Creature,HumanSamurai,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.) {B}, Pay 5 life: Regenerate Numai Outcast.",1,1
Mountain Goat,301,1,Creature,Goat,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),1,1
Blood Cultist,302,3,Creature,HumanWizard,"{T}: Blood Cultist deals 1 damage to target creature. Whenever a creature dealt damage by Blood Cultist this turn dies, put a +1/+1 counter on Blood Cultist.",1,1
Sangrite Backlash,303,2,Enchantment,Aura,Enchant creature Enchanted creature gets +3/-3.,-999,-999
Massive Raid,304,3,Instant,None,Massive Raid deals damage to any target equal to the number of creatures you control.,-999,-999
Rending Volley,305,1,Instant,None,This spell can't be countered. Rending Volley deals 4 damage to target white or blue creature.,-999,-999
Haunted Dead,306,4,Creature,Zombie,"When Haunted Dead enters the battlefield, create a 1/1 white Spirit creature token with flying. {1}{B}, Discard two cards: Return Haunted Dead from your graveyard to the battlefield tapped.",2,2
Muck Drubb,307,5,Creature,Beast,"Flash (You may cast this spell any time you could cast an instant.) When Muck Drubb enters the battlefield, change the target of target spell that targets only a single creature to Muck Drubb. Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",3,3
Aggressive Mammoth,308,6,Creature,Elephant,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Other creatures you control have trample.,8,8
Prismatic Vista,309,0,Land,None,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle your library.",-999,-999
Caustic Hound,310,6,Creature,Dog,"When Caustic Hound dies, each player loses 4 life.",4,4
Reclamation Sage,311,3,Creature,ElfShaman,"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",2,1
Kazandu Refuge,312,0,Land,None,"Kazandu Refuge enters the battlefield tapped. When Kazandu Refuge enters the battlefield, you gain 1 life. {T}: Add {R} or {G}.",-999,-999
Yew Spirit,313,5,Creature,SpiritTreefolk,"{2}{G}{G}: Yew Spirit gets +X/+X until end of turn, where X is its power.",3,3
Torrent Elemental,314,5,Creature,Elemental,"Flying Whenever Torrent Elemental attacks, tap all creatures defending player controls. {3}{B/G}{B/G}: Put Torrent Elemental from exile onto the battlefield tapped. Activate this ability only any time you could cast a sorcery.",3,5
Engulfing Slagwurm,315,7,Creature,Wurm,"Whenever Engulfing Slagwurm blocks or becomes blocked by a creature, destroy that creature. You gain life equal to that creature's toughness.",7,7
Wingrattle Scarecrow,316,3,ArtifactCreature,Scarecrow,"Wingrattle Scarecrow has flying as long as you control a blue creature. Wingrattle Scarecrow has persist as long as you control a black creature. (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",2,2
Goblin Chainwhirler,317,3,Creature,GoblinWarrior,"First strike When Goblin Chainwhirler enters the battlefield, it deals 1 damage to each opponent and each creature and planeswalker they control.",3,3
Arcbound Wanderer,318,6,ArtifactCreature,Golem,"Modular—Sunburst (This creature enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,0
Foul Emissary,319,3,Creature,HumanHorror,"When Foul Emissary enters the battlefield, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order. When you sacrifice Foul Emissary while casting a spell with emerge, create a 3/2 colorless Eldrazi Horror creature token.",1,1
Bog Rats,320,1,Creature,Rat,Bog Rats can't be blocked by Walls.,1,1
Merrow Harbinger,321,4,Creature,MerfolkWizard,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.) When Merrow Harbinger enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle your library and put that card on top of it.",2,3
Faerie Formation,322,5,Creature,Faerie,Flying {3}{U}: Create a 1/1 blue Faerie creature token with flying. Draw a card.,5,4
Oketra's Monument,323,3,Legendary Artifact,None,"White creature spells you cast cost {1} less to cast. Whenever you cast a creature spell, create a 1/1 white Warrior creature token with vigilance.",-999,-999
Moonring Mirror,324,5,Artifact,None,"Whenever you draw a card, exile the top card of your library face down. At the beginning of your upkeep, you may exile all cards from your hand face down. If you do, put all other cards you own exiled with Moonring Mirror into your hand.",-999,-999
Sharuum the Hegemon,325,6,LegendaryArtifactCreature,Sphinx,"Flying When Sharuum the Hegemon enters the battlefield, you may return target artifact card from your graveyard to the battlefield.",5,5
Combo Attack,326,3,Sorcery,None,Two target creatures your team controls each deal damage equal to their power to target creature.,-999,-999
Unliving Psychopath,327,4,Creature,ZombieAssassin,"{B}: Unliving Psychopath gets +1/-1 until end of turn. {B}, {T}: Destroy target creature with power less than Unliving Psychopath's power.",0,4
Diabolic Intent,328,2,Sorcery,None,"As an additional cost to cast this spell, sacrifice a creature. Search your library for a card and put that card into your hand. Then shuffle your library.",-999,-999
Reaver Ambush,329,3,Instant,None,Exile target creature with power 3 or less.,-999,-999
Patron of the Nezumi,330,7,LegendaryCreature,Spirit,"Rat offering (You may cast this card any time you could cast an instant by sacrificing a Rat and paying the difference in mana costs between this and the sacrificed Rat. Mana cost includes color.) Whenever a permanent is put into an opponent's graveyard, that player loses 1 life.",6,6
Black Sun's Zenith,331,2,Sorcery,None,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,-999,-999
Loafing Giant,332,5,Creature,Giant,"Whenever Loafing Giant attacks or blocks, mill a card. If a land card was milled this way, prevent all combat damage Loafing Giant would deal this turn.",4,6
Inundate,333,6,Sorcery,None,Return all nonblue creatures to their owners' hands.,-999,-999
Polymorph,334,4,Sorcery,None,"Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of their library until they reveal a creature card. The player puts that card onto the battlefield, then shuffles all other cards revealed this way into their library.",-999,-999
Sunflare Shaman,335,2,Creature,ElementalShaman,"{1}{R}, {T}: Sunflare Shaman deals X damage to any target and X damage to itself, where X is the number of Elemental cards in your graveyard.",2,1
Sol Grail,336,3,Artifact,None,"As Sol Grail enters the battlefield, choose a color. {T}: Add one mana of the chosen color.",-999,-999
Disappear,337,4,Enchantment,Aura,Enchant creature {U}: Return enchanted creature and Disappear to their owners' hands.,-999,-999
Unwilling Recruit,338,3,Sorcery,None,Gain control of target creature until end of turn. Untap that creature. It gets +X/+0 and gains haste until end of turn.,-999,-999
"Rakdos, the Showstopper",339,6,LegendaryCreature,Demon,"Flying, trample When Rakdos, the Showstopper enters the battlefield, flip a coin for each creature that isn't a Demon, Devil, or Imp. Destroy each creature whose coin comes up tails.",6,6
Anavolver,340,4,Creature,Volver,"Kicker {1}{U} and/or {B} (You may pay an additional {1}{U} and/or {B} as you cast this spell.) If Anavolver was kicked with its {1}{U} kicker, it enters the battlefield with two +1/+1 counters on it and with flying. If Anavolver was kicked with its {B} kicker, it enters the battlefield with a +1/+1 counter on it and with ""Pay 3 life: Regenerate Anavolver.""",3,3
Baffling End,343,2,Enchantment,None,"When Baffling End enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less. When Baffling End leaves the battlefield, target opponent creates a 3/3 green Dinosaur creature token with trample.",-999,-999
Bonds of Quicksilver,345,4,Enchantment,Aura,Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature doesn't untap during its controller's untap step.,-999,-999
Freed from the Real,346,3,Enchantment,Aura,Enchant creature {U}: Tap enchanted creature. {U}: Untap enchanted creature.,-999,-999
Everythingamajig,347,5,Artifact,None,"{2}, {T}: Draw a card. Activate this ability only if you have no cards in hand. {8}, {T}: You gain 10 life. {4}, {T}, Sacrifice Everythingamajig: You may put a silver-bordered permanent card from your hand onto the battlefield.",-999,-999
Heaven // Earth,348,3,Instant // Sorcery,None,None,-999,-999
Misinformation,349,1,Instant,None,Put up to three target cards from an opponent's graveyard on top of their library in any order.,-999,-999
Hero's Downfall,350,3,Instant,None,Destroy target creature or planeswalker.,-999,-999
Vernadi Shieldmate,351,2,Creature,HumanSoldier,Vigilance,2,2
Statute of Denial,352,4,Instant,None,"Counter target spell. If you control a blue creature, draw a card, then discard a card.",-999,-999
Soratami Mirror-Mage,353,4,Creature,MoonfolkWizard,"Flying {3}, Return three lands you control to their owner's hand: Return target creature to its owner's hand.",2,1
Checkpoint Officer,354,2,Creature,HumanSoldier,"{1}{W}, {T}: Tap target creature.",1,2
Tourach's Gate,355,3,Enchantment,Aura,"Enchant land you control Sacrifice a Thrull: Put three time counters on Tourach's Gate. At the beginning of your upkeep, remove a time counter from Tourach's Gate. If there are no time counters on Tourach's Gate, sacrifice it. Tap enchanted land: Attacking creatures you control get +2/-1 until end of turn. Activate this ability only if enchanted land is untapped.",-999,-999
Mesmeric Orb,356,2,Artifact,None,"Whenever a permanent becomes untapped, that permanent's controller mills a card.",-999,-999
Autumn's Veil,357,1,Instant,None,"Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn.",-999,-999
Meteor Storm,358,2,Enchantment,None,"{2}{R}{G}, Discard two cards at random: Meteor Storm deals 4 damage to any target.",-999,-999
Rage Reflection,359,6,Enchantment,None,Creatures you control have double strike.,-999,-999
Faerie,360,0,TokenCreature,Faerie,Flying,1,1
Consuming Sinkhole,361,4,Instant,None,Devoid (This card has no color.) Choose one — • Exile target land creature. • Consuming Sinkhole deals 4 damage to target player or planeswalker.,-999,-999
"Miren, the Moaning Well",362,0,Legendary Land,None,"{T}: Add {C}. {3}, {T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.",-999,-999
Rootborn Defenses,363,3,Instant,None,"Populate. Creatures you control gain indestructible until end of turn. (To populate, create a token that's a copy of a creature token you control.)",-999,-999
Mourning Thrull,364,2,Creature,Thrull,"({W/B} can be paid with either {W} or {B}.) Flying Whenever Mourning Thrull deals damage, you gain that much life.",1,1
My Undead Horde Awakens,365,0,Ongoing Scheme,None,"(An ongoing scheme remains face up until it's abandoned.) At the beginning of your end step, you may put target creature card from an opponent's graveyard onto the battlefield under your control. When a creature put onto the battlefield with this scheme dies, abandon this scheme.",-999,-999
Lore Weaver,366,4,Creature,HumanWizard,"Partner with Ley Weaver (When this creature enters the battlefield, target player may put Ley Weaver into their hand from their library, then shuffle.) {5}{U}{U}: Target player draws two cards.",2,2
Gravitational Shift,367,5,Enchantment,None,Creatures with flying get +2/+0. Creatures without flying get -2/-0.,-999,-999
Brighthearth Banneret,368,2,Creature,ElementalWarrior,"Elemental spells and Warrior spells you cast cost {1} less to cast. Reinforce 1—{1}{R} ({1}{R}, Discard this card: Put a +1/+1 counter on target creature.)",1,1
Sisters of Stone Death Avatar,369,0,Vanguard,None,Each creature you control must be blocked if able. {4}: Exile target creature that's blocking a creature you control.,-999,-999
Executioner's Hood,370,2,Artifact,Equipment,Equipped creature has intimidate. (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.),-999,-999
Rain of Embers,372,2,Sorcery,None,Rain of Embers deals 1 damage to each creature and each player.,-999,-999
Nature Demands an Offering,373,0,Scheme,None,"When you set this scheme in motion, target opponent chooses a creature you don't control and puts it on top of its owner's library, then repeats this process for an artifact, an enchantment, and a land. Then the owner of each permanent chosen this way shuffles their library.",-999,-999
"Zegana, Utopian Speaker",374,4,LegendaryCreature,MerfolkWizard,"When Zegana, Utopian Speaker enters the battlefield, if you control another creature with a +1/+1 counter on it, draw a card. {4}{G}{U}: Adapt 4. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.) Each creature you control with a +1/+1 counter on it has trample.",4,4
The Harvester,375,0,Hero,None,"{T}: Draw a card, then discard a card.",-999,-999
Magister of Worth,376,6,Creature,Angel,"Flying Will of the council — When Magister of Worth enters the battlefield, starting with you, each player votes for grace or condemnation. If grace gets more votes, each player returns each creature card from their graveyard to the battlefield. If condemnation gets more votes or the vote is tied, destroy all creatures other than Magister of Worth.",4,4
Krosan Beast,377,4,Creature,SquirrelBeast,Threshold — Krosan Beast gets +7/+7 as long as seven or more cards are in your graveyard.,1,1
Ghoul's Feast,378,2,Instant,None,"Target creature gets +X/+0 until end of turn, where X is the number of creature cards in your graveyard.",-999,-999
Burning Shield Askari,379,3,Creature,HumanKnight,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {R}{R}: Burning Shield Askari gains first strike until end of turn.",2,2
City of Shadows,380,0,Land,None,"{T}, Exile a creature you control: Put a storage counter on City of Shadows. {T}: Add {C} for each storage counter on City of Shadows.",-999,-999
Elder of Laurels,381,3,Creature,HumanAdvisor,"{3}{G}: Target creature gets +X/+X until end of turn, where X is the number of creatures you control.",2,3
Desperate Castaways,382,2,Creature,HumanPirate,Desperate Castaways can't attack unless you control an artifact.,2,3
Breaking // Entering,383,8,Sorcery // Sorcery,None,None,-999,-999
Ghitu War Cry,384,3,Enchantment,None,{R}: Target creature gets +1/+0 until end of turn.,-999,-999
Skyclave Shadowcat,385,4,Creature,CatHorror,"{1}{B}, Sacrifice another creature: Put a +1/+1 counter on Skyclave Shadowcat. Whenever a creature you control with a +1/+1 counter on it dies, draw a card.",3,3
Cryptolith Rite,386,2,Enchantment,None,"Creatures you control have ""{T}: Add one mana of any color.""",-999,-999
Oran-Rief Recluse,387,3,Creature,Spider,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.) Reach (This creature can block creatures with flying.) When Oran-Rief Recluse enters the battlefield, if it was kicked, destroy target creature with flying.",1,3
Illuminated Folio,388,5,Artifact,None,"{1}, {T}, Reveal two cards from your hand that share a color: Draw a card.",-999,-999
Showstopper,389,3,Instant,None,"Until end of turn, creatures you control gain ""When this creature dies, it deals 2 damage to target creature an opponent controls.""",-999,-999
Saltwater Stalwart,390,4,Creature,MerfolkWarrior,"Whenever Saltwater Stalwart deals damage to an opponent, target player draws a card.",2,4
Spell Blast,391,1,Instant,None,"Counter target spell with converted mana cost X. (For example, if that spell's mana cost is {3}{U}{U}, X is 5.)",-999,-999
Flailing Manticore,392,4,Creature,Manticore,"Flying, first strike {1}: Flailing Manticore gets +1/+1 until end of turn. Any player may activate this ability. {1}: Flailing Manticore gets -1/-1 until end of turn. Any player may activate this ability.",3,3
Junk Golem,393,4,ArtifactCreature,Golem,"Junk Golem enters the battlefield with three +1/+1 counters on it. At the beginning of your upkeep, sacrifice Junk Golem unless you remove a +1/+1 counter from it. {1}, Discard a card: Put a +1/+1 counter on Junk Golem.",0,0
Cardboard Carapace,394,6,Enchantment,Aura,"Enchant creature For each other card named Cardboard Carapace you have with you outside the game, enchanted creature gets +1/+1.",-999,-999
Titans' Nest,395,4,Enchantment,None,"At the beginning of your upkeep, look at the top card of your library. You may put that card into your graveyard. Exile a card from your graveyard: Add {C}. Spend this mana only to cast a colored spell without {X} in its mana cost.",-999,-999
"Hallar, the Firefletcher",396,3,LegendaryCreature,ElfArcher,"Trample Whenever you cast a spell, if that spell was kicked, put a +1/+1 counter on Hallar, the Firefletcher, then Hallar deals damage equal to the number of +1/+1 counters on it to each opponent.",3,3
Heartlash Cinder,397,2,Creature,ElementalWarrior,"Haste Chroma — When Heartlash Cinder enters the battlefield, it gets +X/+0 until end of turn, where X is the number of red mana symbols in the mana costs of permanents you control.",1,1
Deadly Rollick,398,4,Instant,None,"If you control a commander, you may cast this spell without paying its mana cost. Exile target creature.",-999,-999
Yavimaya Barbarian,399,2,Creature,ElfBarbarian,Protection from blue,2,2
Soul's Attendant,400,1,Creature,HumanCleric,"Whenever another creature enters the battlefield, you may gain 1 life.",1,1
Mudbutton Torchrunner,401,3,Creature,GoblinWarrior,"When Mudbutton Torchrunner dies, it deals 3 damage to any target.",1,1
Kargan Intimidator,402,2,Creature,HumanWarrior,Cowards can't block Warriors. {1}: Choose one that hasn't been chosen this turn — • Kargan Intimidator gets +1/+1 until end of turn. • Target creature becomes a Coward until end of turn. • Target Warrior gains trample until end of turn.,3,1
Dragon Scales,403,2,Enchantment,Aura,"Enchant creature Enchanted creature gets +1/+2 and has vigilance. When a creature with converted mana cost 6 or greater enters the battlefield, you may return Dragon Scales from your graveyard to the battlefield attached to that creature.",-999,-999
Yamabushi's Flame,404,3,Instant,None,"Yamabushi's Flame deals 3 damage to any target. If a creature dealt damage this way would die this turn, exile it instead.",-999,-999
Rod of Spanking,405,1,Artifact,None,"{2}, {T}: Rod of Spanking deals 1 damage to target player. Then untap Rod of Spanking unless that player says ""Thank you, sir. May I have another?""",-999,-999
Rime Dryad,406,1,Creature,Dryad,Snow forestwalk (This creature can't be blocked as long as defending player controls a snow Forest.),1,2
Surging Might,407,3,Enchantment,Aura,"Enchant creature Enchanted creature gets +2/+2. Ripple 4 (When you cast this spell, you may reveal the top four cards of your library. You may cast spells with the same name as this spell from among those cards without paying their mana costs. Put the rest on the bottom of your library.)",-999,-999
Ebony Treefolk,408,3,Creature,Treefolk,{B}{G}: Ebony Treefolk gets +1/+1 until end of turn.,3,3
Breath of Fire,409,2,Instant,None,Breath of Fire deals 2 damage to target creature.,-999,-999
Immolating Glare,410,2,Instant,None,Destroy target attacking creature.,-999,-999
"Phenax, God of Deception",411,5,LegendaryEnchantmentCreature,God,"Indestructible As long as your devotion to blue and black is less than seven, Phenax isn't a creature. Creatures you control have ""{T}: Target player mills X cards, where X is this creature's toughness.""",4,7
Moonblade Shinobi,412,4,Creature,HumanNinja,"Ninjutsu {2}{U} ({2}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Moonblade Shinobi deals combat damage to a player, create a 1/1 blue Illusion creature token with flying.",3,2
Simic Growth Chamber,413,0,Land,None,"Simic Growth Chamber enters the battlefield tapped. When Simic Growth Chamber enters the battlefield, return a land you control to its owner's hand. {T}: Add {G}{U}.",-999,-999
Spurnmage Advocate,414,1,Creature,HumanNomad,{T}: Return two target cards from an opponent's graveyard to their hand. Destroy target attacking creature.,1,1
Bog Humbugs,415,2,Creature,Insect,"Flying Whenever Bog Humbugs deals combat damage, hum that many notes of a festive song. If you can, put a +1/+1 counter on Bog Humbugs.",1,1
Slaughter Drone,416,2,Creature,EldraziDrone,Devoid (This card has no color.) {C}: Slaughter Drone gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it. {C} represents colorless mana.),2,2
Plague Stinger,417,2,Creature,InsectHorror,Flying Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),1,1
Tumble Magnet,418,3,Artifact,None,"Tumble Magnet enters the battlefield with three charge counters on it. {T}, Remove a charge counter from Tumble Magnet: Tap target artifact or creature.",-999,-999
